コントロールカラム,ディレクトリid,パス名
,302529,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツバッグ >> ボストンバッグ・ダッフルバッグ
,304002,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> メンズインナー >> その他
,304000,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> メンズインナー >> トップス
,510851,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> メンズインナー >> ボトムス
,304043,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> レディースインナー >> キャミソール
,565907,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> レディースインナー >> シャツ
,304046,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> レディースインナー >> ショーツ
,510833,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> レディースインナー >> スパッツ
,206725,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> レディースインナー >> スポーツブラ
,206709,スポーツ・アウトドア >> スポーツウェア・アクセサリー >> スポーツ用インナー >> レディースインナー >> セット
