"コントロールカラム","ジャンルid","パス名"
"","32071102","インナー・ルームウェア>レディースインナー>補正下着>ガードル"
"","32071103","インナー・ルームウェア>レディースインナー>補正下着>ボディスーツ"
"","32071101","インナー・ルームウェア>レディースインナー>補正下着>その他補正下着"
"","320712","インナー・ルームウェア>レディースインナー>アンダーウェア"
"","320713","インナー・ルームウェア>レディースインナー>スリップ"
"","320714","インナー・ルームウェア>レディースインナー>タップパンツ"
"","320715","インナー・ルームウェア>レディースインナー>ベビードール"
"","320701","インナー・ルームウェア>レディースインナー>その他レディースインナー"
"","320802","インナー・ルームウェア>レディースナイトウェア・ルームウェア>ナイトガウン"
"","320803","インナー・ルームウェア>レディースナイトウェア・ルームウェア>ネグリジェ"
"","320804","インナー・ルームウェア>レディースナイトウェア・ルームウェア>パジャマ"
"","320806","インナー・ルームウェア>レディースナイトウェア・ルームウェア>ルームウェア"
"","320807","インナー・ルームウェア>レディースナイトウェア・ルームウェア>ルームソックス"
"","320801","インナー・ルームウェア>レディースナイトウェア・ルームウェア>その他レディースナイトウェア・ルームウェア"
"","320901","インナー・ルームウェア>レディース靴下>5本指ソックス"
"","320902","インナー・ルームウェア>レディース靴下>かかとソックス"
"","320903","インナー・ルームウェア>レディース靴下>くるぶしソックス"
"","320905","インナー・ルームウェア>レディース靴下>カバーソックス・フットカバー"
"","320906","インナー・ルームウェア>レディース靴下>サイハイソックス"
"","320907","インナー・ルームウェア>レディース靴下>ソックス"
"","320908","インナー・ルームウェア>レディース靴下>ニーハイソックス"
"","320909","インナー・ルームウェア>レディース靴下>ハイソックス"
"","320910","インナー・ルームウェア>レディース靴下>ルーズソックス"
"","320911","インナー・ルームウェア>レディース靴下>レッグウォーマー"
"","320912","インナー・ルームウェア>レディース靴下>着圧ソックス"
"","320914","インナー・ルームウェア>レディース靴下>スポーツソックス"
"","320915","インナー・ルームウェア>レディース靴下>インナーソックス"
